LoanID,Property,Occupancy,CITY,STATE,ZIP,FICO,Current_FICO_Score,Current_Interest_Rate,Original_Amount,Original_Term,Original_Appraisal_Amount,Remaining_Term,Amor_Term,Current_Principal_Balance
1195401,CO,AB,Dolton,IL,60419,697,683,0.06706243254058876,373500,300,466000,221,300,325702.97376
1196479,CO,AB,Mount Victory,OH,43340,751,780,0.0733540559658083,172500,240,182000,211,240,162447.554686
1197466,CO,AB,Cale,AR,71828,741,706,0.09591751886077121,181750,300,189000,277,300,178059.430154
1198177,CO,AB,El Monte,CA,91731,560,548,0.07692191562582801,127500,180,154000,146,180,113167.716976
1198421,CO,AB,Warsaw,KY,41095,719,752,0.0906736466148822,417750,180,541000,133,180,356108.994377
1198687,CO,AB,Eureka,MI,48833,585,584,0.10297035267897602,101500,240,130000,147,240,83312.4417227
1199299,CO,AB,Osceola,MO,64776,695,719,0.06525315346929861,406250,180,523000,134,180,336667.7297
1199807,CO,AB,Sterling,CO,80751,793,783,0.11300112983319392,146000,300,172000,284,300,144489.671012
1200191,CO,AB,Doe Hill,VA,24433,742,755,0.10215877196254891,118500,300,150000,242,300,112078.878713
1200443,CO,AB,Smilax,KY,41764,583,552,0.06485273531900289,304000,240,380000,155,240,237228.022179
1200820,CO,AB,Cove,OR,97824,557,549,0.07674418737124347,266500,240,354000,167,240,222850.622575
1201717,CO,AB,Mooreland,OK,73852,750,742,0.04498982530335593,227500,180,242000,127,180,175582.087799
1201907,CO,AB,Mount Pleasant,AR,72561,641,625,0.0986276632476782,142250,180,183000,176,180,140842.540545
1202164,CO,AB,Newington,CT,06131,608,585,0.07859631816931834,247500,240,294000,174,240,212339.861896
1202933,CO,AB,Lynn,MA,01902,598,617,0.09401438927663286,395250,240,459000,160,240,333031.151732
1203380,CO,AB,Lyon Mountain,NY,12952,647,694,0.0853356622966164,338750,180,449000,164,180,322990.011499
1204164,CO,AB,Intervale,NH,03845,616,636,0.04234771888316205,91750,300,121000,252,300,82745.7436909
1204360,CO,AB,West Nottingham,NH,03291,658,686,0.05628000886910561,129750,240,145000,157,240,100060.88468
1205357,CO,AB,Larose,LA,70373,760,776,0.06266028062133377,426500,300,486000,261,300,401024.210073
1206276,CO,AB,Crawfordsville,IN,47939,538,527,0.08504574778965468,504750,240,561000,223,240,490268.782808
1206621,CO,AB,Ekron,KY,40117,517,537,0.07286335872504418,71250,300,91000,222,300,62897.0552355
1206945,CO,AB,Rexmont,PA,17085,555,584,0.1140403623558631,198500,300,254000,183,300,173502.743387
1207510,CO,AB,Jonesboro,AR,72401,485,522,0.061279953624203486,212750,180,277000,160,180,197553.761678
1207805,CO,AB,Opelika,AL,36801,633,668,0.03849767155240592,130250,300,151000,197,300,98709.9929186
1208758,CO,AB,Middle Haddam,CT,06456,503,553,0.059918750595315914,59000,300,68000,199,300,47838.7445342
1209273,CO,AB,Wilmont,MN,56185,768,735,0.0946225636204823,439000,300,468000,216,300,396057.858799
1210315,CO,AB,Hawkins,TX,75765,799,844,0.10012367503963762,242750,300,265000,231,300,225810.581683
1210673,CO,AB,Wood Lake,MN,56297,486,475,0.03987695594145685,444750,240,545000,151,240,319239.903535
1211014,CO,AB,Tulsa,OK,74158,798,776,0.054468056112265587,446750,300,521000,254,300,410956.885372
1211486,CO,AB,Atlanta,GA,39901,490,473,0.10976178738056866,383250,240,439000,175,240,344050.102199
