portfolio_id,bank_loan_id,property_type_code,occupancy_code,city,us_state,zipcode,fico,current_FICO_score,current_interest_rate,original_amount,original_term,original_appraisal_amount,remaining_term,amortized_term,current_principal_balance
1,515139,CO,AB,Arkansas City,AR,71630,663,697,0.06776617892751928,164250,240,179000,207,240,152534.929865
1,515642,CO,AB,Young America,MN,55397,707,724,0.10226309349461779,193250,300,255000,240,300,182333.915167
1,515862,CO,AB,Bethel,NC,27812,553,572,0.08533340497923245,342750,180,381000,112,180,260521.202727
1,516291,CO,AB,Grubville,MO,63041,709,746,0.054157900984534685,84250,240,99000,206,240,77090.2338645
1,517206,CO,AB,Bowmansville,NY,14026,653,615,0.08446488538404132,116750,300,133000,181,300,95606.3777746
1,517713,CO,AB,Winterhaven,CA,92283,621,668,0.10223607073645913,302500,300,330000,259,300,291785.243291
1,518413,CO,AB,San Pedro,CA,90732,659,642,0.04196707570363543,111250,240,115000,183,240,92572.5174826
1,518900,CO,AB,Bloomington,IL,61704,758,808,0.05672663340421824,486750,300,529000,200,300,392615.583801
1,519121,CO,AB,Newark,NJ,07175,530,558,0.06233797043226653,259000,240,316000,234,240,255686.035434
1,519357,CO,AB,Tuckerman,AR,72473,699,700,0.07091354984702011,503000,300,560000,293,300,498639.248127
