bank_loan_id,property_type_code,occupancy_code,city,us_state,zipcode,fico,current_FICO_score,current_interest_rate,original_amount,original_term,original_appraisal_amount,remaining_term,amortized_term,current_principal_balance
574583,CO,AB,Wellsville,UT,84339,585,630,0.05816094477464063,390500,180,490000,108,180,273318.177784
575279,CO,AB,Saint Helena,CA,94574,764,792,0.043322017524557596,400750,300,441000,197,300,308285.600375
575768,CO,AB,Columbus,WI,53925,757,775,0.050253461131288577,481000,240,492000,203,240,434409.317858
575995,CO,AB,Gasburg,VA,23857,701,706,0.09393677700566203,411500,300,494000,196,300,356623.985754
576220,CO,AB,Stumpy Point,NC,27978,770,811,0.10191832722276879,545250,240,619000,171,240,479908.221761
577136,CO,AB,Des Plaines,IL,60019,490,495,0.07282124199942795,215500,240,250000,221,240,207476.13204
577816,CO,AB,Onalaska,TX,77360,677,701,0.0701421209168006,150500,180,198000,176,180,148586.369041
578883,CO,AB,Bridport,VT,05734,483,475,0.0414424696921737,175000,180,220000,162,180,161971.857176
579973,CO,AB,Alexandria,LA,71302,696,678,0.08557868877903804,418750,240,493000,211,240,397473.507679
580412,CO,AB,West Portsmouth,OH,45663,628,630,0.053371886369437085,450500,300,502000,263,300,421645.81491
581458,CO,AB,Albany,OR,97321,707,711,0.07621926735351534,69500,240,78000,146,240,53667.3816703
582410,CO,AB,Clearwater,NE,68726,622,596,0.11386955772779593,533000,300,600000,193,300,474805.789189
582624,CO,AB,Jasper,AL,35501,727,697,0.08259495755525781,148750,240,177000,152,240,119311.126178
583300,CO,AB,Dayton,OH,45479,770,759,0.05996432991421066,182000,180,200000,147,180,159601.419033
583521,CO,AB,Dawson,TX,76639,753,784,0.05354502288198765,214250,180,219000,178,180,212690.325069
583967,CO,AB,Meservey,IA,50457,538,511,0.08729857750282899,339250,300,451000,245,300,317940.502578
584522,CO,AB,East Winthrop,ME,04343,660,666,0.04147624020790461,129000,180,160000,143,180,108596.04799
584930,CO,AB,Pinson,TN,38366,481,479,0.04072669648320515,102250,240,115000,201,240,90740.6273936
585431,CO,AB,Des Moines,IA,50360,782,782,0.10678582137032847,267750,240,289000,221,240,261102.00382
585591,CO,AB,Bloomfield,CT,06002,577,585,0.07493090742466821,243250,180,251000,121,180,191006.878013
585911,CO,AB,Newport News,VA,23612,744,717,0.11089076859499927,321250,240,387000,172,240,286753.284822
586413,CO,AB,Kechi,KS,67067,625,627,0.043151398671193365,450000,180,528000,144,180,381644.135001
586814,CO,AB,Sayreville,NJ,08871,493,486,0.07324742236805665,312250,180,347000,115,180,236128.394176
587406,CO,AB,La Grange,MO,63448,723,700,0.061995376172000294,86250,180,107000,128,180,68907.8032183
587577,CO,AB,Baldwin,NY,11510,705,706,0.05248585540639207,358000,180,436000,164,180,336308.634558
587789,CO,AB,Merry Hill,NC,27957,547,568,0.09345430170256445,531000,180,580000,144,180,474736.076554
588369,CO,AB,South Heart,ND,58655,704,681,0.04805297744647749,288250,300,323000,268,300,271274.828976
588744,CO,AB,Kansas City,MO,64157,492,496,0.043873721230094365,310750,300,409000,295,300,307872.548752
589480,CO,AB,Keysville,VA,23947,768,739,0.10522988337029958,62000,240,68000,158,240,52902.0380838
590527,CO,AB,Alvarado,TX,76009,712,726,0.051620339717839095,454000,300,508000,230,300,393371.164109
591134,CO,AB,Washington,IA,52353,542,501,0.09248414974297414,264000,300,328000,299,300,263774.091963
591522,CO,AB,Meadow Vista,CA,95722,649,693,0.09834343469825732,69250,180,71000,158,180,65178.5676219
591713,CO,AB,Mount Vernon,NY,10550,616,629,0.06400284635834089,491250,240,555000,160,240,390432.479193
591930,CO,AB,Kent,MN,56553,669,681,0.06795901466595819,195750,300,221000,226,300,172890.0193
