LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,P,SUBPRIME,C,CONV,1,0.085,160000,5/20/03,7/1/03,144000,360,272,360,No PMI Insurance,Dearborn Heights,MI,48127,516,0.06,0.145,0.085,,0.01,,6,6WSLB,6/1/05,0.01,6,0,,6,90 DPD,0,,,39000,11/30/10,135407.98,0.085,8/19/10,676,N,N,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.072,235900,11/28/05,1/1/06,188700,335,305,334,No PMI Insurance,Portland,OR,97220,548,,,,,,0,,,,,,,,,30 DPD,7839.6,8/20/10,,206930,9/25/09,198696.54,0.02,12/22/10,512,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0959,131000,7/7/06,9/1/06,130500,360,309,480,No PMI Insurance,Douglasville,GA,30134,669,,,,,,,,,,,,,,,60 DPD,0,,,55000,11/12/10,128269.21,0.0959,12/14/10,577,N,Y,,,N,,,5000
,,CO,I,ALT A,,CONV,1,0.07375,380000,1/25/06,3/1/06,297998,360,303,360,No PMI Insurance,Weston,FL,33326,759,,,,,,,,,,,,,,,60 DPD,0,,,380000,11/15/05,281758.18,0.07375,12/7/10,736,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.07375,133000,12/13/05,2/1/06,96000,360,304,360,No PMI Insurance,Garner,NC,27529,673,,,,,,,,,,,,,,,REPERF,0,,,130000,9/13/10,91168.78,0.07375,12/31/10,581,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.05875,540000,12/28/05,2/1/06,320000,180,119,180,No PMI Insurance,Los Angeles Arleta Ar,CA,91331,714,,,,,,,,,,,,,,,CURRENT,0,,,540000,12/7/05,240635.52,0.05875,12/27/10,672,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.10575,78000,6/1/06,8/1/06,70200,360,306,314,No PMI Insurance,Salina,KS,67401,592,,,,,,,,,,,,,,,CURRENT,0,4/29/10,,73958,1/27/10,70314.23,0.082,12/3/10,589,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,2,0.097,173000,8/2/06,10/1/06,33262,180,128,136,No PMI Insurance,Bellville,TX,77418,,,,,,,,,,,,,,,,CURRENT,0,5/7/10,,170000,8/17/10,33194.16,0.02,12/7/10,484,N,Y,135902.13,12/31/10,Y,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.076,82000,10/23/06,12/1/06,50003,360,309,360,No PMI Insurance,Duncanville,TX,75116,684,,,,,,,,,,,,,,,CURRENT,0,,,82000,10/6/06,47871.22,0.076,12/27/10,689,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.081,102800,12/22/05,2/1/06,82240,360,311,360,No PMI Insurance,Memphis,TN,38116,616,0.06499,0.151,0.081,,0.01,0,6,6W1BD,1/1/08,0.01,6,0,,6,REPERF,0,,,59900,12/23/10,81223.53,0.081,12/14/10,479,Y,Y,,,N,19870.31,12/31/10,5000
,,SF,P,ALT A,,CONV,1,0.0725,222000,11/21/06,1/1/07,177600,360,311,360,No PMI Insurance,Orange Cove,CA,93646,651,0.0275,0.1325,0,,0.01,,6,6W1BD,12/1/11,0.01,6,0,,6,CURRENT,0,,,222000,9/17/06,175911.38,0.0725,12/9/10,663,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.08,355000,10/27/06,12/1/06,319500,339,328,339,No PMI Insurance,Mahopac,NY,10541,593,,,,,,,,,,,,,,,FC,0,10/30/08,2/3/10,235000,10/13/10,322910.17,0.08,9/24/09,549,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.07375,147000,1/31/04,3/1/04,124950,310,279,480,No PMI Insurance,Saint Louis,MO,63138,551,,,,,,0,,,,,,,,,CURRENT,800,4/9/10,,133000,11/16/09,140023.89,0.02,12/3/10,479,N,N,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0785,240000,11/1/06,12/1/06,228000,360,310,322,No PMI Insurance,Capitol Heights,MD,20743,666,,,,,,,,,,,,,,,CURRENT,0,3/18/10,,120000,11/10/09,232178.28,0.041,12/13/10,668,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.102,142000,10/27/06,12/1/06,113600,360,310,360,No PMI Insurance,La Marque,TX,77568,547,,,,,,,,,,,,,,,CURRENT,0,,,142000,10/12/06,110087.13,0.102,12/10/10,535,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.0452,362000,10/13/06,12/1/06,289600,333,315,333,No PMI Insurance,Edmonds,WA,98026,615,0.0549,0.1249,0.0649,,0.01,,6,6WSLB,5/1/14,0.01,6,0,,6,90 DPD,0,2/6/09,,270000,10/8/10,293702.66,0.0452,10/12/10,480,N,Y,,,N,,,5000
,,CO,P,PRIME,,CONV,1,0.06625,165000,3/8/06,5/1/06,132000,360,303,360,No PMI Insurance,Clinton Township,MI,48038,606,0.0225,0.11625,0,,0.01,,6,6W1BD,4/1/13,0.01,6,0,,6,CURRENT,0,,,165000,3/9/06,131950.27,0.06625,12/1/10,771,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0865,340000,5/17/06,7/1/06,287010,360,340,360,No PMI Insurance,Monticello,NY,12701,630,0.06429,0.1465,0.0865,,0.015,,6,6WSLB,6/1/08,0.015,6,0,,6,REO,0,,3/28/07,155000,10/7/10,283590.31,0.0865,5/20/10,567,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0516,639900,5/18/06,7/1/06,607905,329,325,329,No PMI Insurance,Piscataway,NJ,8854,626,,,,,,,,,,,,,,,FC,0,1/8/09,12/29/09,475000,11/9/10,454025.05,0.0516,4/30/09,482,N,Y,,,N,,,5000
