LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,P,ALT A,C,CONV,1,0.06875,630000,2/12/07,4/1/07,460000,360,347,360,No PMI Insurance,Chatsworth Area,CA,91311,641,0.0225,0.12875,0,,0.02,,6,6W1BD,3/1/12,0.02,6,0,,6,FC,0,,7/1/09,368000,10/1/10,458485.27,0.06875,,538,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0474,187000,6/29/06,8/1/06,168300,331,308,480,No PMI Insurance,Cordova,TN,38016,521,,,,,,,,,,,,,,,30 DPD,18500,10/27/10,,135000,5/18/10,169316.45,0.02,11/12/10,537,N,Y,,,N,,,5000
,,CO,P,SUBPRIME,P,CONV,1,0.099,72000,8/7/06,9/1/06,55800,360,308,360,No PMI Insurance,Lithonia,GA,30038,544,,,,,,,,,,,,,,,30 DPD,0,,,17500,7/10/09,54208.94,0.099,12/11/10,424,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0889,220000,4/26/06,6/1/06,176000,360,304,360,No PMI Insurance,Coalville,UT,84017,554,0.06819,0.1489,0.0889,,0.015,,6,6WSLB,5/1/08,0.015,6,0,,6,CURRENT,0,,,226500,10/21/08,169552.98,0.0889,12/14/10,556,N,Y,,,N,,,5000
,,CO,I,SUBPRIME,P,CONV,1,0.08,167000,6/30/06,8/1/06,150250,343,340,343,No PMI Insurance,Hialeah,FL,33015,682,,,,,,,,,,,,,,,90 DPD,0,2/27/08,,40000,9/1/10,158660.4,0.08,6/2/08,486,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.091,175875,12/27/06,3/1/07,142800,361,315,480,No PMI Insurance,Colorado Springs,CO,80904,583,,,,,,,,,,,,,,,30 DPD,1000,6/2/10,,130000,4/19/10,151738.83,0.02,12/3/10,563,N,Y,,,N,,,5000
,,SF,I,ALT A,,CONV,1,0.06875,133000,4/17/06,6/1/06,106400,360,304,360,No PMI Insurance,Boise,ID,83703,799,0.05,0.12875,0.06875,,0.02,,6,6W1BD,5/1/09,0.02,6,0,,6,CURRENT,0,,,133000,3/24/06,106243.61,0.06875,12/10/10,778,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.078,126000,3/23/04,5/1/04,113400,331,283,331,No PMI Insurance,Wyandotte,MI,48192,640,,,,,,0,,,,,,,,,90 DPD,0,11/30/06,,43564,9/11/09,110007.52,0.078,10/29/10,561,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0624,73000,6/15/99,7/15/99,62050,246,221,246,No PMI Insurance,Baton Rouge,LA,70812,608,,,,,,0,,,,,,,,,CURRENT,0,11/11/08,,71000,9/9/08,60317.16,0.0624,12/30/10,605,N,Y,,,N,,,5000
,,PD,P,SUBPRIME,C,CONV,1,0.0482,220000,7/25/06,9/1/06,209000,329,306,569,No PMI Insurance,West Palm Beach,FL,33406,710,,,,,,,,,,,,,,,CURRENT,0,2/26/09,,80000,10/23/08,71013.9,0.0482,12/27/10,700,N,Y,,,N,,,5000
